OBJECTID,MAJOR,MINOR,PIN,SHAPE_LENGTH,SHAPE_AREA,COUNTY,JURISDICTION,HASPARCELLU,PSRCID,FIRSTOFTAXPAYERNAME,PROPNAME,EDU_LOW,EDU_MED,EDU_HIGH,FOO_LOW,FOO_MED,FOO_HIGH,GOV_VERYLOW,GOV_LOW,GOV_MED,GOV_HIGH,GOV_VERYHIGH,IND_LOW,IND_MED,IND_HIGH,NOEMP,MED_LOW,MED_MED,MED_HIGH,OFC_LOW,OFC_MED,OFC_HIGH,OTH_LOW,OTH_MED,OTH_HIGH,RET_VERYLOW,RET_LOW,RET_MED,RET_HIGH,SVC_LOW,SVC_MED,SVC_HIGH,SFUNITS,APTUNITS,CONDOUNITS,TAZ_P,SUBAREA,CONVERSION,EMPTOT_P,EMPEDU_P,SQFT_EDU,EMPFOO_P,SQFT_FOO,EMPGOV_P,SQFT_GOV,EMPIND_P,SQFT_IND,EMPMED_P,SQFT_MED,EMPOFC_P,SQFT_OFC,EMPOTH_P,SQFT_OTH,EMPRET_P,SQFT_RET,EMPSVC_P,SQFT_SVC,EMPEDU_ESD,EMPFOO_ESD,EMPGOV_ESD,EMPIND_ESD,EMPMED_ESD,EMPOFC_ESD,EMPOTH_ESD,EMPRET_ESD,EMPSVC_ESD,EMPTOT_ESD
115080,154410,10,1544100010,582.9404016,21515.80798,King,Bellevue,1,789461,,BANK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9127,0,0,0,11.0,3.0,veryhigh,32.8572,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,32.8572,9127,0,0,0.0,0,6,8,0,0,3,17.0
115081,154410,11,1544100011,588.5100476,21612.76925,King,Bellevue,1,789462,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115082,154410,20,1544100020,1176.42219,86401.48021,King,Bellevue,1,789463,,NE CORNER OFFICE & RETAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17062,0,0,0,0,0,0,0,94834,0,0,0,0,0,0,11.0,3.0,veryhigh,488.1762,0,0,0.0,0,0,0,0.0,0,0.0,0,61.4232,17062,0.0,0,426.753,94834,0.0,0,0,0,0.0,0,0,0,0,0,4,4.0
115083,154410,40,1544100040,4777.137515,804234.8678,King,Bellevue,1,789464,,BELLEVUE SQUARE ANCHOR STORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681498,0,0,0,0,0,0,0,11.0,3.0,veryhigh,3066.741,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,3066.741,681498,0.0,0,0,851,0.0,215,4,246,47,2480,337,4180.0
115084,154410,81,1544100081,318.837766,6185.924494,King,Bellevue,1,789465,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115085,154410,82,1544100082,271.8154048,4579.447019,King,Bellevue,1,789466,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115086,154410,90,1544100090,383.5843526,9602.717721,King,Bellevue,1,789467,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115087,154410,101,1544100101,377.9679269,8714.523593,King,Bellevue,1,789468,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115088,154410,112,1544100112,2603.063787,356588.0681,King,Bellevue,1,789469,,BELLEVUE SQUARE RETAIL STORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507465,0,0,0,0,0,0,11.0,3.0,veryhigh,2283.5925,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2283.5925,507465,0.0,0,0,41,0.0,164,0,4,0,1131,6,1346.0
115089,154410,120,1544100120,323.3448032,2943.021684,King,Bellevue,1,789470,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115090,154410,121,1544100121,513.2619186,16302.37776,King,Bellevue,1,789471,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115091,154410,122,1544100122,432.5825164,10621.79916,King,Bellevue,1,789472,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115092,154410,123,1544100123,439.6930588,11125.36162,King,Bellevue,1,789473,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115093,154410,130,1544100130,1027.540472,64749.71535,King,Bellevue,1,789474,,PARKING RAMP - BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115094,154410,131,1544100131,703.1146018,17510.11445,King,Bellevue,1,789475,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115095,154410,150,1544100150,865.61654,41138.61411,King,Bellevue,1,789476,,PARKING RAMP - BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115096,154410,190,1544100190,883.4195082,47569.52996,King,Bellevue,1,789477,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
115097,154410,191,1544100191,166.6973813,1664.64238,King,Bellevue,1,789478,,SIGN SHOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,11.0,3.0,veryhigh,4.32,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.32,960,0.0,0,0,0,0.0,0,0,0,0,0,3,3.0
115098,154410,192,1544100192,480.1125966,12550.98594,King,Bellevue,1,789479,,ORIENTAL RUG STORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4813,0,0,0,0,0,0,0,11.0,3.0,veryhigh,21.6585,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,21.6585,4813,0.0,0,0,1,0.0,0,0,0,0,0,7,8.0
115099,154410,194,1544100194,404.7383621,10231.8251,King,Bellevue,1,789480,,PARKING- BELLEVUE SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
